测试套/软件包名,测试用例名,状态,日志文件,原因
FS_FileSystem,oe_test_FSIO_change_fs,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_change_fs/2023-09-01-15_34_37.log)),x86 fail
,oe_test_FSIO_create_ext3,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext3/2023-09-01-15_23_16.log)),x86 fail
,oe_test_FSIO_create_ext4,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext4/2023-09-01-15_34_12.log)),x86 fail
,oe_test_FSIO_create_xfs,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_xfs/2023-09-01-15_22_43.log)),x86 fail
,oe_test_FSIO_dd_mkfs,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_dd_mkfs/2023-09-01-15_21_02.log)),x86 fail
,oe_test_FSIO_ext3_resize2fs,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_ext3_resize2fs/2023-09-01-15_34_20.log)),x86 fail
,oe_test_FSIO_ext4_e4defrag,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_ext4_e4defrag/2023-09-01-15_36_40.log)),x86 fail
,oe_test_FSIO_ext4_resize2fs,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_ext4_resize2fs/2023-09-01-15_19_49.log)),x86 fail
,oe_test_FSIO_loop_fs,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_loop_fs/2023-09-01-15_20_29.log)),x86 fail
,oe_test_FSIO_mount_automount,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_automount/2023-09-01-15_33_26.log)),x86 fail
,oe_test_FSIO_mount_block_dir,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_block_dir/2023-09-01-15_18_24.log)),x86 fail
,oe_test_FSIO_mount_character_dir,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_character_dir/2023-09-01-15_32_47.log)),x86 fail
,oe_test_FSIO_mount_empty_dir,same,[log]([log](./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_empty_dir/2023-09-01-15_22_57.log)),x86 fail
