测试套/软件包名,测试用例名,状态,日志文件,原因
xz,oe_test_xz_xz_04,success,./mugen-riscv/logs/xz/oe_test_xz_xz_04/2023-09-12-12:06:17.log,None
,oe_test_xz,success,./mugen-riscv/logs/xz/oe_test_xz/2023-09-12-12:10:30.log,None
,oe_test_xz_xzdiff_01,success,./mugen-riscv/logs/xz/oe_test_xz_xzdiff_01/2023-09-12-12:10:07.log,None
,oe_test_xz_xzcat_01,success,./mugen-riscv/logs/xz/oe_test_xz_xzcat_01/2023-09-12-12:08:12.log,None
,oe_test_xz_xzdiff_02,success,./mugen-riscv/logs/xz/oe_test_xz_xzdiff_02/2023-09-12-12:10:52.log,None
,oe_test_xz_xz_01,success,./mugen-riscv/logs/xz/oe_test_xz_xz_01/2023-09-12-12:05:12.log,None
,oe_test_xz_xzcmp,success,./mugen-riscv/logs/xz/oe_test_xz_xzcmp/2023-09-12-12:09:21.log,None
,oe_test_xz_unxz_03,success,./mugen-riscv/logs/xz/oe_test_xz_unxz_03/2023-09-12-12:07:26.log,None
,oe_test_xz_unxz_04,success,./mugen-riscv/logs/xz/oe_test_xz_unxz_04/2023-09-12-12:07:48.log,None
,oe_test_xz_xzcat_03,success,./mugen-riscv/logs/xz/oe_test_xz_xzcat_03/2023-09-12-12:08:56.log,None
,oe_test_xz_unxz_01,success,./mugen-riscv/logs/xz/oe_test_xz_unxz_01/2023-09-12-12:06:40.log,None
,oe_test_xz_unxz_02,success,./mugen-riscv/logs/xz/oe_test_xz_unxz_02/2023-09-12-12:07:03.log,None
,oe_test_xz_xzcat_02,success,./mugen-riscv/logs/xz/oe_test_xz_xzcat_02/2023-09-12-12:08:33.log,None
,oe_test_xz_xz_02,success,./mugen-riscv/logs/xz/oe_test_xz_xz_02/2023-09-12-12:05:35.log,None
,oe_test_xz_xz_03,success,./mugen-riscv/logs/xz/oe_test_xz_xz_03/2023-09-12-12:05:55.log,None
,oe_test_xz_xzdec,success,./mugen-riscv/logs/xz/oe_test_xz_xzdec/2023-09-12-12:09:43.log,None
rsync,oe_test_service_rsyncd,success,./mugen-riscv/logs/rsync/oe_test_service_rsyncd/2023-09-12-15:36:19.log,None
,oe_test_socket_rsyncd,success,./mugen-riscv/logs/rsync/oe_test_socket_rsyncd/2023-09-12-15:37:02.log,None
rdate,oe_test_rdate,success,./mugen-riscv/logs/rdate/oe_test_rdate/2023-09-12-16:43:06.log,None
ebtables,oe_test_service_ebtables,success,./mugen-riscv/logs/ebtables/oe_test_service_ebtables/2023-09-12-16:04:49.log,None
cyrus-sasl,oe_test_service_saslauthd,success,./mugen-riscv/logs/cyrus-sasl/oe_test_service_saslauthd/2023-09-12-16:00:11.log,None
diffutils,oe_test_diffutils_004,success,./mugen-riscv/logs/diffutils/oe_test_diffutils_004/2023-09-12-14:03:27.log,None
,oe_test_diffutils_002,success,./mugen-riscv/logs/diffutils/oe_test_diffutils_002/2023-09-12-14:02:43.log,None
,oe_test_diffutils_003,success,./mugen-riscv/logs/diffutils/oe_test_diffutils_003/2023-09-12-14:03:05.log,None
,oe_test_diffutils_001,success,./mugen-riscv/logs/diffutils/oe_test_diffutils_001/2023-09-12-14:02:19.log,None
libarchive,oe_test_libarchive_bsdtar,success,./mugen-riscv/logs/libarchive/oe_test_libarchive_bsdtar/2023-09-12-15:26:31.log,None
,oe_test_libarchive_bsdcpio,success,./mugen-riscv/logs/libarchive/oe_test_libarchive_bsdcpio/2023-09-12-15:27:19.log,None
createrepo_c,oe_test_createrepo_c_local_repo,success,./mugen-riscv/logs/createrepo_c/oe_test_createrepo_c_local_repo/2023-09-12-17:57:49.log,None
cgdcbxd,oe_test_service_cgdcbxd,success,./mugen-riscv/logs/cgdcbxd/oe_test_service_cgdcbxd/2023-09-12-15:54:52.log,None
nss,oe_test_nss,success,./mugen-riscv/logs/nss/oe_test_nss/2023-09-12-15:45:00.log,None
tigervnc,oe_test_socket_xvnc,success,./mugen-riscv/logs/tigervnc/oe_test_socket_xvnc/2023-09-12-16:51:41.log,None
pcre2,oe_test_pcre2grep,success,./mugen-riscv/logs/pcre2/oe_test_pcre2grep/2023-09-12-16:34:27.log,None
sane-backends,oe_test_socket_saned,success,./mugen-riscv/logs/sane-backends/oe_test_socket_saned/2023-09-12-16:45:41.log,None
numad,oe_test_service_numad,success,./mugen-riscv/logs/numad/oe_test_service_numad/2023-09-12-16:29:41.log,None
byacc,oe_test_byacc_yacc_02,success,./mugen-riscv/logs/byacc/oe_test_byacc_yacc_02/2023-09-12-14:07:03.log,None
,oe_test_byacc_byacc_02,success,./mugen-riscv/logs/byacc/oe_test_byacc_byacc_02/2023-09-12-14:06:18.log,None
