测试套/软件包名,测试用例名,状态,日志文件,原因
hostname,oe_test_service_nis-domainname,success,./mugen-riscv/logs/hostname/oe_test_service_nis-domainname/2023-09-21-20:57:33.log,None
,oe_test_access_providepam,success,./mugen-riscv/logs/acl/oe_test_access_providepam/2023-09-21-21:27:32.log,None
ebtables,oe_test_service_ebtables,success,./mugen-riscv/logs/ebtables/oe_test_service_ebtables/2023-09-21-20:34:38.log,None
ctags,oe_test_ctags,success,./mugen-riscv/logs/ctags/oe_test_ctags/2023-09-22-02:39:07.log,None
libsndfile,oe_test_libsndfile,success,./mugen-riscv/logs/libsndfile/oe_test_libsndfile/2023-09-22-02:43:19.log,None
ipset,oe_test_service_ipset,success,./mugen-riscv/logs/ipset/oe_test_service_ipset/2023-09-21-18:58:46.log,None
,oe_test_iperf3_command_client,success,./mugen-riscv/logs/iperf3/oe_test_iperf3_command_client/2023-09-22-04_52_12.log,None
,oe_test_service_plymouth-switch-root-initramfs,success,./mugen-riscv/logs/plymouth/oe_test_service_plymouth-switch-root-initramfs/2023-09-22-10:06:39.log,None
iprutils,oe_test_target_iprutils,success,./mugen-riscv/logs/iprutils/oe_test_target_iprutils/2023-09-21-23:35:22.log,None
,oe_test_service_iprupdate,success,./mugen-riscv/logs/iprutils/oe_test_service_iprupdate/2023-09-21-23:34:41.log,None
,oe_test_service_iprdump,success,./mugen-riscv/logs/iprutils/oe_test_service_iprdump/2023-09-21-23:33:19.log,None
,oe_test_service_iprinit,success,./mugen-riscv/logs/iprutils/oe_test_service_iprinit/2023-09-21-23:34:00.log,None
unbound,oe_test_service_unbound,success,./mugen-riscv/logs/unbound/oe_test_service_unbound/2023-09-22-00:41:23.log,None
,oe_test_service_unbound-keygen,success,./mugen-riscv/logs/unbound/oe_test_service_unbound-keygen/2023-09-22-00:39:39.log,None
,oe_test_FSIO_filefrag,success,./mugen-riscv/logs/FS_File/oe_test_FSIO_filefrag/2023-09-21-20:46:37.log,None
,oe_test_FSIO_act_file_lack_inode,success,./mugen-riscv/logs/FS_File/oe_test_FSIO_act_file_lack_inode/2023-09-21-20:25:23.log,None
ntp,oe_test_service_ntp-wait,fail,./mugen-riscv/logs/ntp/oe_test_service_ntp-wait/2023-09-22-00_29_40.log,
,oe_test_service_ntpdate,fail,./mugen-riscv/logs/ntp/oe_test_service_ntpdate/2023-09-22-00_24_00.log,
,oe_test_service_ntpd,fail,./mugen-riscv/logs/ntp/oe_test_service_ntpd/2023-09-22-00_27_08.log,
,oe_test_service_sntp,fail,./mugen-riscv/logs/ntp/oe_test_service_sntp/2023-09-22-00_32_13.log,
os-basic,oe_test_server_openssh_key,success,./mugen-riscv/logs/os-basic/oe_test_server_openssh_key/2023-09-22-05_11_48.log,None
,oe_test_chrony_Manuall,fail,./mugen-riscv/logs/os-basic/oe_test_chrony_Manuall/2023-09-22-08_54_16.log,
,oe_test_server_httpd_recover,fail,./mugen-riscv/logs/os-basic/oe_test_server_httpd_recover/2023-09-22-05_56_06.log,
,oe_test_server_openssh_secure,success,./mugen-riscv/logs/os-basic/oe_test_server_openssh_secure/2023-09-22-05_09_02.log,None
,oe_test_expect,success,./mugen-riscv/logs/os-basic/oe_test_expect/2023-09-22-09_47_49.log,None
,oe_test_server_openssh_restart,success,./mugen-riscv/logs/os-basic/oe_test_server_openssh_restart/2023-09-22-05_09_44.log,None
,oe_test_power_powertop_startup,success,./mugen-riscv/logs/os-basic/oe_test_power_powertop_startup/2023-09-22-08_28_35.log,None
,oe_test_envsubst,success,./mugen-riscv/logs/os-basic/oe_test_envsubst/2023-09-22-04_33_13.log,None
,oe_test_nmcli_Mgntconnect,success,./mugen-riscv/logs/os-basic/oe_test_nmcli_Mgntconnect/2023-09-22-08_39_33.log,None
,oe_test_auditc_01,success,./mugen-riscv/logs/os-basic/oe_test_auditc_01/2023-09-22-09_44_22.log,None
,oe_test_disk_schedule_specific,success,./mugen-riscv/logs/os-basic/oe_test_disk_schedule_specific/2023-09-22-08_47_50.log,None
,oe_test_nmcli_8023link,success,./mugen-riscv/logs/os-basic/oe_test_nmcli_8023link/2023-09-22-08_40_01.log,None
,oe_test_nmcli_con_reload,success,./mugen-riscv/logs/os-basic/oe_test_nmcli_con_reload/2023-09-22-08_37_53.log,None
