测试套/软件包名,测试用例名,状态,日志文件,原因
pigz,oe_test_pigz_07,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_07/2024-03-05-10:28:45.log,
,oe_test_pigz_03,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_03/2024-03-05-10:22:54.log,
,oe_test_pigz,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz/2024-03-05-10:18:22.log,
,oe_test_pigz_10,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_10/2024-03-05-10:33:28.log,
,oe_test_pigz_04,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_04/2024-03-05-10:24:19.log,
,oe_test_pigz_05,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_05/2024-03-05-10:25:50.log,
,oe_test_pigz_08,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_08/2024-03-05-10:30:20.log,
,oe_test_pigz_02,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_02/2024-03-05-10:21:25.log,
,oe_test_pigz_09,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_09/2024-03-05-10:31:50.log,
,oe_test_pigz_01,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_01/2024-03-05-10:19:55.log,
,oe_test_pigz_06,fail_x86NotTest,./mugen-riscv/logs/pigz/oe_test_pigz_06/2024-03-05-10:27:13.log,
opensp,oe_test_opensp_osx,fail_x86NotTest,./mugen-riscv/logs/opensp/oe_test_opensp_osx/2024-03-05-14:39:47.log,
pmix,oe_test_pmix,fail_x86NotTest,./mugen-riscv/logs/pmix/oe_test_pmix/2024-03-06-02:47:30.log,
ipvsadm,oe_test_ipvs_WRONG_COMMAND_01,fail_x86NotTest,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_WRONG_COMMAND_01/2024-03-05-06:20:59.log,
,oe_test_ipvs_MOD_01,fail_x86NotTest,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_MOD_01/2024-03-05-06:16:16.log,
,oe_test_ipvs_ADD_01,fail_x86NotTest,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_ADD_01/2024-03-05-06:09:44.log,
,oe_test_service_ipvsadm,fail_x86NotTest,./mugen-riscv/logs/ipvsadm/oe_test_service_ipvsadm/2024-03-05-06:24:37.log,
,oe_test_ipvs_DEL_01,fail_x86NotTest,./mugen-riscv/logs/ipvsadm/oe_test_ipvs_DEL_01/2024-03-05-06:12:53.log,
