测试套/软件包名,测试用例名,状态,日志文件,原因
groovy18,oe_test_java2groovy18,fail,./mugen-riscv/logs/groovy18/oe_test_java2groovy18/2023-06-26-01:56:26.log,file missing
,oe_test_groovy18c_02,fail,./mugen-riscv/logs/groovy18/oe_test_groovy18c_02/2023-06-26-02:10:26.log,file missing
postgresql_20.03,oe_test_postgresql_vacuumdb,fail,./mugen-riscv/logs/postgresql_20.03/oe_test_postgresql_vacuumdb/2023-06-22-06:43:25.log,测试套编写不符
smoke-OVS,oe_test_OVS,fail,./mugen-riscv/logs/smoke-OVS/oe_test_OVS/2023-06-23-03:50:57.log,timeout
embedded_security_config_test,oe_test_check_user_account_008,fail,./mugen-riscv/logs/embedded_security_config_test/oe_test_check_user_account_008/2023-06-23-03:42:23.log,/etc/motd内没有相关信息
,oe_test_check_file_sys_protect_003,fail,./mugen-riscv/logs/embedded_security_config_test/oe_test_check_file_sys_protect_003/2023-06-23-03:34:45.log,preinstall absent
FS_IO,oe_test_FSIO_open_wo_create_file,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_open_wo_create_file/2023-06-23-03:28:57.log,preinstall absent
,oe_test_FSIO_open_excl_file,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_open_excl_file/2023-06-23-02:56:36.log,Broken testcase
,oe_test_FSIO_fs_IO,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_fs_IO/2023-06-23-02:45:48.log,file missing
,oe_test_FSIO_aio_suspend,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_aio_suspend/2023-06-23-02:31:50.log,preinstall absent
,oe_test_FSIO_aio_write,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_aio_write/2023-06-23-02:32:30.log,preinstall absent
,oe_test_FSIO_open_rw_append_file,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_open_rw_append_file/2023-06-23-03:28:20.log,preinstall absent
,oe_test_FSIO_aio_libaio,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_aio_libaio/2023-06-23-02:29:01.log,file missing
,oe_test_FSIO_lio_listio,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_lio_listio/2023-06-23-02:50:50.log,preinstall absent
,oe_test_FSIO_open_noctty_trun_file,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_open_noctty_trun_file/2023-06-23-03:27:03.log,preinstall absent
,oe_test_FSIO_open_ro_file,fail,./mugen-riscv/logs/FS_IO/oe_test_FSIO_open_ro_file/2023-06-23-03:27:43.log,preinstall absent
os-basic,oe_test_aureport,fail,./mugen-riscv/logs/os-basic/oe_test_aureport/2023-07-12-12_40_44.log,镜像没有预装测试所需的 audit 软件包
,oe_test_awk,fail,./mugen-riscv/logs/os-basic/oe_test_awk/2023-04-28-03:34:31.log,测试套问题，检查 cpuid 在 qemu riscv 失败
,oe_test_c++,fail,./mugen-riscv/logs/os-basic/oe_test_c++/2023-04-28-03:32:15.log,镜像没有预装测试所需的 kernel-headers
,oe_test_chsh,fail,./mugen-riscv/logs/os-basic/oe_test_chsh/2023-04-28-10:56:22.log,测试套问题，脚本需要测试环境默认语言为中文，且依赖 zsh
,oe_test_disk_io_sched,fail,./mugen-riscv/logs/os-basic/oe_test_disk_io_sched/2023-04-28-10:24:32.log,bfq scheduler Invalid argument
,oe_test_disk_schedule_specific,fail,./mugen-riscv/logs/os-basic/oe_test_disk_schedule_specific/2023-04-28-08:31:35.log,bfq scheduler Invalid argument
,oe_test_disk_schedule_udev,fail,./mugen-riscv/logs/os-basic/oe_test_disk_schedule_udev/2023-04-28-08:32:02.log,测试套问题， config_params 函数获取 wwid 失败
,oe_test_ethtool,fail,./mugen-riscv/logs/os-basic/oe_test_ethtool/2023-04-28-08:42:35.log,镜像没有预装测试所需的 ethtool
,oe_test_fuse,fail,./mugen-riscv/logs/os-basic/oe_test_fuse/2023-04-28-03:35:43.log,缺失内核模块 fuse ， nknown filesystem type 'fusectl'
,oe_test_gmp,fail,./mugen-riscv/logs/os-basic/oe_test_gmp/2023-04-28-10:18:16.log,镜像没有预装测试所需的 kernel-headers
