测试套/软件包名,测试用例名,状态,日志文件,原因
httpry,oe_test_httpry_02,x86 fail,./mugen-riscv/logs/httpry/oe_test_httpry_02/2023-06-26-02:50:03.log,x86 fail
,oe_test_httpry_01,x86 fail,./mugen-riscv/logs/httpry/oe_test_httpry_01/2023-06-26-02:47:21.log,x86 fail
Keras,oe_test_Keras,x86 fail,./mugen-riscv/logs/Keras/oe_test_Keras/2023-06-26-03:14:08.log,x86 fail
phodav,oe_test_service_spice-webdavd,x86 fail,./mugen-riscv/logs/phodav/oe_test_service_spice-webdavd/2023-06-23-00:06:55.log,x86 fail
groovy18,oe_test_groovy18c_01,x86 fail,./mugen-riscv/logs/groovy18/oe_test_groovy18c_01/2023-06-26-02:04:35.log,x86 fail
,oe_test_groovy18_02,x86 fail,./mugen-riscv/logs/groovy18/oe_test_groovy18_02/2023-06-26-02:02:32.log,x86 fail
,oe_test_groovy18sh,x86 fail,./mugen-riscv/logs/groovy18/oe_test_groovy18sh/2023-06-26-01:58:10.log,x86 fail
,oe_test_groovy18_01,x86 fail,./mugen-riscv/logs/groovy18/oe_test_groovy18_01/2023-06-26-02:00:33.log,x86 fail
,oe_test_grape_01,x86 fail,./mugen-riscv/logs/groovy18/oe_test_grape_01/2023-06-26-02:06:33.log,x86 fail
,oe_test_grape_02,x86 fail,./mugen-riscv/logs/groovy18/oe_test_grape_02/2023-06-26-02:08:30.log,x86 fail
postgresql_20.03,oe_test_postgresql-devel_ecpg,x86 fail,./mugen-riscv/logs/postgresql_20.03/oe_test_postgresql-devel_ecpg/2023-06-22-03:38:53.log,x86 fail
,oe_test_postgresql_pg_restore01,x86 fail,./mugen-riscv/logs/postgresql_20.03/oe_test_postgresql_pg_restore01/2023-06-22-04:33:54.log,x86 fail
,oe_test_postgresql-contrib_pg_waldump,x86 fail,./mugen-riscv/logs/postgresql_20.03/oe_test_postgresql-contrib_pg_waldump/2023-06-22-03:04:30.log,x86 fail
,oe_test_postgresql_pg_dumpall01,x86 fail,./mugen-riscv/logs/postgresql_20.03/oe_test_postgresql_pg_dumpall01/2023-06-22-04:21:11.log,x86 fail
,oe_test_postgresql-server_pg_receivewal,x86 fail,./mugen-riscv/logs/postgresql_20.03/oe_test_postgresql-server_pg_receivewal/2023-06-22-05:51:59.log,x86 fail
,oe_test_postgresql_reindexdb,x86 fail,./mugen-riscv/logs/postgresql_20.03/oe_test_postgresql_reindexdb/2023-06-22-05:12:24.log,x86 fail
,oe_test_postgresql_pg_dump02,x86 fail,./mugen-riscv/logs/postgresql_20.03/oe_test_postgresql_pg_dump02/2023-06-22-04:09:04.log,x86 fail
,oe_test_postgresql-contrib_pg_archivecleanup,x86 fail,./mugen-riscv/logs/postgresql_20.03/oe_test_postgresql-contrib_pg_archivecleanup/2023-06-22-02:17:12.log,x86 fail
embedded_security_config_test,oe_test_check_file_sys_protect_001,x86 fail,./mugen-riscv/logs/embedded_security_config_test/oe_test_check_file_sys_protect_001/2023-06-23-03:32:54.log,x86 fail
,oe_test_check_user_account_002,x86 fail,./mugen-riscv/logs/embedded_security_config_test/oe_test_check_user_account_002/2023-06-23-03:38:11.log,x86 fail
,oe_test_check_user_account_007,x86 fail,./mugen-riscv/logs/embedded_security_config_test/oe_test_check_user_account_007/2023-06-23-03:41:50.log,x86 fail
,oe_test_check_file_sys_protect_002,x86 fail,./mugen-riscv/logs/embedded_security_config_test/oe_test_check_file_sys_protect_002/2023-06-23-03:34:15.log,x86 fail
,oe_test_check_user_account_004,x86 fail,./mugen-riscv/logs/embedded_security_config_test/oe_test_check_user_account_004/2023-06-23-03:39:35.log,x86 fail
